Scientific Name,Habitat Comments
Succinea wilsoni,This species is found in elaborate burrows in open grassy areas with a high water table (Georgia Department of Natural Resources 2023).
Triodopsis alabamensis,"Cambarus distans is found in permanent freshwater streams. The mountains of eastern Kentucky, southwestern West Virginia, and anlong the northwestern border of Virginia interlock allowing the crayfish to cross the drainage divides (Rhoades 1944). C. distans has the widest variability of water quality tolerance in the family Cambaridae, however, as a species C. distans is not tolerant of pollution (Peake, Pond and McMurray 2004)."
Triodopsis fallax,"Found in a wetland swamp forest dominated by overstory of <i>Quercus</i> spp., <i>Nyssa biflora</i>, and <i>Acer rubrum</i>, while understory has abundant <i>Crataegus aestivalis</i>, <i>Sebastiana fruticosa</i>, <i>Rhus radicans</i>, and a variety of graminoids. Individuals burrow and area is seasonally flooded, and in very wet periods produces a shallow outflow to Kiokee Creek. Burrows typically found just above the standing water mark among roots of small trees and <i>Serenoa repens</i> (Cooper and Skelton 2003)."
Triodopsis fallax affinis,<i>Cambarus englishi</i> is found in the riffle areas of freshwater streams and other lotic habitats (Ratcliff and DeVries 2004). This species lives in streams under rocks (Schuster and Taylor 2004).
Triodopsis hopetonensis,"This species is found under rocks, leaf litter, and woody material in slow to moderately flowing streams and small rivers (Georgia Department of Natural Resources 2023)."
Triodopsis juxtidens,<i>Cambarus fasciatus</i> is found in fast-flowing streams with sandy bottoms littered with rocks. This species can be found sheltering under rocks and young has been found in leaf litter (Hobbs 1981).
Triodopsis palustris,<i>Cambarus georgiae</i> has been found in fast-flowing streams with sandy bottoms of a depth of no more than 1 m (Hobbs 1981). It is associated with debris in slower parts of swift streams and areas lacking other crayfish competitors.
Triodopsis tennesseensis,"Cambarus girardianus is found in fast moving streams, it is also found slower streams when cover is available, such as rocks, roots or leaf litter (Schuster and Taylor, 2004; Hobbs 1981)."
Triodopsis tridentata,It occurs in streams under rocks (Schuster and Taylor 2004). <i>Cambarus halli</i> is found in permanent pools and streams consisting of sand substrates littered with rocks and the water is slightly cloudy (Hobbs 1968).
Triodopsis vannostrandi,Burrows in the seepage area of stream floodplains with water level near the surface. It is a primary burrower in seepage areas amidst roots supporting the burrows (Figiel 2009).
Triodopsis vulgata,"It is found in clear, fast-flowing streams. This species is found most abundantly in streams with a rocky substrate (Hobbs 1981). Although <i>C. hiwasseensis</i> and <i>C. parrishi</i> are both endemic to the Hiwassee River, <i>C. hiwasseensis</i> appears to be replaced by <i>C. parrishi</i> in smaller headwater tributaries; as the two species have never been found together at any locality (McGrath 1998). In North Carolina, most collections were made in small streams 14 m wide, but one collection was made in the Hiwassee River (approximately 40 m wide) from moderate- to low-gradient streams (Simmons and Fraley 2010)."
Vallonia excentrica,"Inhabits the riffle areas of streams (Hobbs, 1981)."
Ventridens acerra,"It lives in streams under rocks; and is also a secondary burrower (Schuster and Taylor, 2004). Cambarus latimanus enhabits small to moderately large permanent streams and burrows (Fetzner 2008). This species can tolerate a wide range of ecological conditions and exists from the pan handle of Florida to northern North Carolina (Hobbs 1983)."
Ventridens arcellus,"It lives in streams under rocks (Schuster and Taylor, 2004). It has a broader ecology than either of its close relatives C. longulus and C. chasmodactylus and is by far the least ecologically restricted of the three (James 1966). It inhabits large and small freshwater permenant streams, usually found in the riffle areas (James 1966)."
Ventridens cerinoideus,"Cambarus manningi is found under rocks in riffle areas of clear, moderate to swift flowing streams (Hobbs 1981)."
Ventridens collisella,"Cambarus nodosus is a primary burrowing crayfish which is found in pools, seepage areas and occasionally in the riffle areas of streams. This species can also be found in sphagnum bogs. The substrate of the river is sand and mica with stretches of bed rock and scattered small to large rocks (Bouchard and Hobbs 1976). This species is probably a generalist as females with eggs and young has been found in ditches next to roads in more than one locality (Bouchard and Hobbs 1976)."
Ventridens decussatus,"Very swift, clear water flowing over a bed of sand and rocks. Although <i>C. hiwasseensis</i> and <i>C. parrishi</i> are both endemic to the Hiwassee River, <i>C. hiwasseensis</i> appears to be replaced by <i>C. parrishi</i> in smaller headwater tributaries; as the two species have never been found together at any locality (McGrath, 1998)."
Ventridens demissus,Cambarus parvoculus is found in rocky streams (Fetzner 2008). C. parvoculus is quite a specialist as its arbitary tolerance values of water quality were 2.5-3.5 with other more gneralist species have values of 2.2-6.8. These values also show that C. parvoculus requires more pristine water than other more tollerant species (Peake et al. 2004).
Ventridens gularis,Cambarus reflexus is a primary burrower found in seepage areas. Burrows are often in root mats and have two openings (Hobbs 1981).
Ventridens intertextus,"Is most abundant in areas with swift water and rocks (Hobbs, 1981)."
Ventridens lawae,This species is found in clear to slightly cloudy pools and stream margins with sand and rocky substrates (Schuster 2001).
Ventridens pilsbryi,"A species of burrowing crayfish, preferential to clay soils (Glon, 2021), where freshwater is major habitat (WoRMS, 2023)."
Ventridens theloides,"It lives in streams under rocks, but can also be a primary or secondary burrower (Schuster and Taylor, 2004). Heath et al. (2010) found a single specimen burrowed in hard soil densely meshed with roots in Alabama (Choctawhatchee basiin)."
Vertigo alabamensis,"This species forms elaborate burrows in sandy clay substrates, in densely matted with roots, and in high organic matter soils. Adult <i>Cambarus strigosus</i> crayfish are found in complex burrows in sandy-clay soils near streams or in areas with a high water table (a water level near the surface). The burrows of this species are built in soil that is rich in organic matter. The constructed burrows often have multiple branches and at least one chamber that extends below the water table. The openings of the burrow are usually marked with chimneys (mounds of sand or mud placed around openings above ground). Occasionally it leaves the general safety of its burrow to search for food or a mate at night (Hobbs, 1981)."
Vertigo malleata,Complex burrows; roadside ditches; sandy clay or clay substrate (Skelton 2010). This species is a primary burrowing species found in complex burrows in sandy clay soil (Hobbs 1981). Complex burrows adjacent to streams or in low areas where the water table is near the surface of the ground. Burrowing crayfishes inhabit a system of tunnels that may be very complex with several openings to the surface.
Vertigo milium,"It lives in streams under rocks (Schuster and Taylor, 2004). It is found in permanent rocky streams (Hobbs and Hall 1969). In Georgia, this species is found in medium sized mountain streams from beneath rocks in moderate to swift current (GA DNR, pers. comm., 2009)."
Vertigo oralis,"A species of burrowing crayfish (Guiasu, 2021), where freshwater is major habitat (WoRMS, 2023)."
Vertigo oscariana,Burrows in floodplain in sandy clay soil.
Vertigo ovata,"It occurs in slow streams, marshes, swamps and ditches; and can be a tertiary burrower (Schuster and Taylor, 2004).  In Missouri, it occurs in small intermittent creeks and the shallows of seasonally flooded sloughs and swamps; but for much of the year it is sequestered in burrows (Pflieger, 1996).  In wet seasons they emerge from chimneyless burrows of 0.7 to 1.2 feet deep to live in shallow sloughs, swamps, ditches and overflow pools (Johnson and Johnson, 2008)."
Vertigo teskeyae,"Generally found in small gravel streams. According to Bouchard and Bouchard (1995) it has been found in a variety of habitats including riffle areas (under rocks), pools, along the shore, as well as in the leaf litter and root masses of riparian trees. <span><span><span>Freshwater is major habitat (WoRMS, 2023).</span></span></span>"
Vitrinizonites latissimus,"This species can be found in streams under rocks (Schuster and Taylor, 2004)."
Xolotrema caroliniense,"This species can be found in streams under rocks (Schuster and Taylor, 2004)."
Xolotrema fosteri,"It inhabits streams and creeks with gravel, cobble and mud substrates (Taylor 2000)."
Zonitoides arboreus,"Preferred habitat is permanently running streams with clay banks and sand and coarse gravel substrate (Hogger, 1988).  Pflieger (1996) claims it is strictely confined to flowing waters in ditches and streams, not swamps sloughs and natural lakes.  In Texas, holes in steep banks and root masses are the favored cover during daytime in more permanent streams and Red River tributaries are usually shallow except during rainy periods when submerged rocks and logs become favored sites in shallow stream beds (Johnson and Johnson, 2008)."
Zonitoides elliotti,"This species is found in streams under rocks (Schuster and Taylor, 2004)."
Zonitoides patuloides,"This species has been collected from streams and rivers (Mirarchi et al., 2004; Schuster and Taylor, 2004; Schuster et al., 2008). This species is a primary burrower in wetlands and can be found in many places where the water table is near the surface. Furthermore, LeGrand et al. (2006) has found this species in small creeks and pools while Simmons and Fraley (2010) found it in shallow streamside burrows at 2 sites in the Hiwassee River floodplain along small streams impounded by the Hiwassee Reservoir at full pool with a third site along a private reservoir dug from burrows in a wet area of a mowed lawn (burrows in clay soil up to 5 m from the water edge)."
Corbicula fluminea,"This species usually burrows in alluvial soils of stream floodplains, and in anthropogenically altered habitats like roadside ditches, the banks of ponds, and urban lawns (Glon et al., 2019)."
Crassostrea virginica,"Can be excavated almost anywhere where water table is near surface; lives as primary burrower in burrows constructed in timbered and formerly timbered areas along streams and ditches (Pflieger, 1996).  In Texas, it burrows near permanent streams and is in surface waters during sprign and after rains but usually remains within the immediate vicinity of its burrow."
Pisidium dubium,"This species is found in slow streams, pools and roadside ditches (Schuster and Taylor, 2004)."
Spurwinkia salsa,"Widely tolerant, in most lentic situations in range and in sluggish streams.  In Missouri, it is most often found in sloughs, marshes and natural lakes along the flood plains of streams (70% from standing water, 19% from ditches, 11% from small to medium sized streams, 0% from open channels of rivers) (Pflieger, 1996).  In West Virginia, it was often found in ephemeral wetland habitats in cotrast to observations in Illinois, where it was collected primarily from sluggist streams (Loughman, 2007)."
Crangonyx antennatus,"It is a primary burrowing species, spending the major part of its life in complex burrows. Most of the tunnel systems have at least three potential surface exists marked by low, carelessly constructed chimneys, one or more may be plugged. In as much as the tunnels are largely confined to flatwoods or boggy areas where the water table is near the surface, few of the deep passages extend downward for more than 1.5 m (Hobbs, 1981)."
Crangonyx floridanus,"In pure water channels that run between the hills of the sandhills (""in aquae purae rivulos qui inter colliculos arenosos currunt"")."
Crangonyx richmondensis,It is a secondary burrower which can be found in lentic situations.
Crangonyx serratus,Procambarus caritus is a primary burrowing species found in streams in rolling pine woods and pine flatwoods (Hobbs 1981).
Stygobromus ackerlyi,"In Missouri, it occurs more often in flowing water habitats than the white river crayfish (61% lowland streams and ditches, 79% of these with noticeable current or flow), but also in swamps, sloughs and roadside pools; bottom usually mud or sand, often where there were considerable quantities of organic debris such as logs, sticks or water-soaked tree leaves (Pflieger, 1996).  It is very tolerant of low oxygen and high temperature; is a secondary burrower; and is found in almost every type habitat in sluggish streams and lentic situations. It is one of few North American crayfishes with salinity tolerance."
Stygobromus dicksoni,"Procambarus enoplosternum inhabits small, moderately flowing, clear stream tributaries with a sand substrate (Hobbs 1946; Hobbs 1958). ."
Stygobromus grandis,<i>Procambarus epicyrtus</i> inhabits streams of varying sizes with sand and clay substrates. It is unknown whether this is a burrowing species (Hobbs 1981).
Stygobromus minutus," It is a very variable species in its habitat and is considered to be a habitat generalist, inhabiting both lentic and lotic situations It is found in lentic such as ditches, and lotic situations and burrows (Hobbs 1942). Hobbs (1942) indicates that this species has a very variable habitat range, and will occur in any freshwater habitat providing there is sufficient vegetation to provide protection from predators."
Cambarus asperimanus,"According to Hobbs (1981) it is restricted to lotic waters, of all sizes and does not shun swift water and may even be found in riffle areas. GA DNR (pers. comm., 2009) reports it from sand bottomed streams with macrophytes in clear, free flowing water; often in riffle habitat."
Cambarus bartonii,"It lives in slow streams and lentic environments (Schuster and Taylor, 2004). In ponds, adults used deeper water by day moving into shallow waters or even terrestrial habitats by night (Payne, 1972). This species is also a secondary burrower (Payne, 1972)."
Cambarus conasaugaensis,It is a tertiary burrowing species. This species is found in a wide range of habitat types but is most commonly found in submerged dense vegetations in slow to moderately fast flowing streams (Hobbs 1981).
Cambarus coosae,"This species occurs in streams in swampy areas with sand substrate (Hobbs, Jr, 1946). Freshwater is major habitat (WoRMS, 2023)."
Cambarus coosawattae,"It occurs in lentic and lotic environments; and is a tertiary burrower (Schuster and Taylor, 2004)."
Cambarus cryptodytes,"It inhabits ponds, lakes, swamps and roadside ditches. This species is a secondary or tertiary burrower (Hobbs, 1981)."
Cambarus cymatilis,"It occurs in lentic and lotic environments, and rarely in caves; tertiary burrower (Hobbs, 1989)."
Cambarus distans,"Karst cave systems with fresh water; only weakly attracted to sinks and other energy input areas. Reportedly associated with caves that have high flow in newly emerging karst areas. May venture out into the lighted portions of some ""blue hole"" sinks (Deyrup and Franz 1994)."
Cambarus doughertyensis,"It occurs in lotic systems of various sizes (Hobbs, 1981)."
Cambarus englishi,"It is a tertiary burrower which inhabits streams (Brown, 1981; Hobbs, 1989)"
Cambarus extraneus,Both <i>Procambarus pubischelae pubischelae </i>and  <i>Procambarus pubischelae deficiens </i>are found in lentic and sluggish lotic situations and are secondary burrowers (Hobbs 1942).
Cambarus fasciatus,"It is found in both permanent lentic and lotic situations amongst vegetation, and is a secondary burrower (Hobbs, 1942)."
Cambarus georgiae,All of the specimens collected for this species have been from permanent streams.
Cambarus girardianus,"It is found in clear, swift streams, stagnant pools, roadside ditches, flatwood ponds and is a secondary burrower (Hobbs, 1942). This species is a habitat generalist."
Cambarus halli,"This is a generalist stream species (Schuster and Taylor, 2004). This species prefers deep water sites but adults can be found in shallow sandy bottomed streams. It is not tolerant of temperature changes and is susceptible to dessication during droughts (Caine, 1978). This species is sympatric with many different crayfish species including, <i>P. versatus</i>, <i>Cambarus latimanus</i> and <i>C. englishi</i>, although it may be outcompeted by larger crayfish (Ratcliff and DeVries, 2004)."
Cambarus harti,"it is a primary burrower (Hobbs, 1981)."
Cambarus hiwasseensis,it is a tertiary burrower which inhabits lentic and lotic environments.
Cambarus howardi,"It is found in seepage areas in colonies where each member digs its own complex burrow (Hobbs 1954, 1981)."
Cambarus latimanus,"This is a stream species (Schuster and Taylor, 2004). It is present in permanent, slow flowing streams with sandy substrates (Hobbs, 1952). It is also found in backwaters and woodland seeps (Stanton, 2003)."
Cambarus longirostris,"This is a stream species (Schuster and Taylor, 2004). Although it occurred most often in woody debris on sandy substrates in stream runs in southeastern Alabama, this is likely due to lack of availability of other substrate choices such as gravel or pebbles rather than habitat preference (Stewart et al., 2010)."
Cambarus manningi,Rock out crop temporary pools.
Cambarus nodosus,"Typically found in clear cool to cold water with neutral to low pH, in well vegeatated ephemeral pools"
Cambarus parrishi,"Typically found in clear cool water with neutral to low pH, in well vegetated ephemeral pools"
Cambarus parvoculus,"In Georgia, this species is known from shallow, flat bottomed depressional wetlands (pools) characterized by a variable, ephemeral hydroperiod subject to seasonal precipitation patterns, usually becoming inundated in late autumn and completely drying by late spring or early summer (Rogers et al. 2004). The site in Florida is characterized as a hydric hammock, which is an evergreen hardwood and/or palm forest with a variable understory typically dominated by palms and ferns occurring on moist soils, often with limestone very near the surface (FNAI 2010)."
Cambarus reflexus,"Temporary wetlands, pools and playas."
Cambarus scotti,"At the time of original description, it was known only from depressional pools on stone Mountain in Georgia, and from seasonal wetlands in the Florida Keys (Rogers et al., 2010)."
Cambarus speciosus,Temporary wetlands and pools.
Cambarus stockeri,"Temporary wetlands and vernal pools, typically clear, slightly alkaline to slightly acidic, water"
Cambarus striatus,"Found in freshwater ponds and temporary pools making geographic distribution erratic. Sporadic, localized, and often season occurrence (Fitzpatrick, 1983).  Found in seasonal wetlands and temporary pools."
Cambarus strigosus,N/A
Cambarus truncatus,N/A
Cambarus unestami,N/A
Creaserinus fodiens,N/A
Distocambarus devexus,"This stygobitic species is principally known from subterranean fresh waters in limestone bedrock. These are typically accessible at surface and submerged limestone caves, sinks, spring vents, and artificially dug wells; decayed wood and leaves are often present. Isopods have been observed in the water column just above the silt layer. The original description of the species also noted four young specimens taken from a crayfish burrow at a non-cave location (Maloney 1939), but these may not represent<i> C. hobbsi</i>."
Faxonella clypeata,"This cave species has been collected from a rimstone pool (Nickajack Cave) and drip pools (Lewis 2009, Coleman and Zigler 2015)."
Faxonius durelli,"This stygobitic species is principally known from subterranean fresh waters in limestone bedrock. These are typically accessible at surface and submerged limestone caves, sinks, spring vents, and artificially dug wells; decayed wood and leaves may be present."
Faxonius erichsonianus,N/A
Faxonius forceps,N/A
Faxonius juvenilis,N/A
Faxonius palmeri,N/A
Faxonius palmeri creolanus,"Ohio shrimp apparently prefer low velocity water (Conaway and Hrabik, 1997); however, open side channels, a preferred habitat of Ohio shrimp, have flow during normal river elevations (Barko and Herzog, 2003). Ohio shrimp prefer borders of the main channel, especially when the borders are flooded and plant and animal material are available for foraging (Truesdale and Mermilliod, 1979). Ohio Shrimp have been reported to have greater abundance in areas with suspended particulate matter, which may be a predator avoidance response. Ohio shrimp occupy low visibility physical habitats that are also occupied by predatory fishes, such as flathead catfish, a species that is not native to South Carolina (Barko and Herzog, 2003). "
Faxonius spinosus,Symbionts of troglobitic decapods.
Lacunicambarus acanthura,
Lacunicambarus dalyae,
Lacunicambarus diogenes,
Procambarus acutissimus,
Procambarus acutus,
Procambarus advena,
Procambarus angustatus,
Procambarus barbatus,
Procambarus caritus,
Procambarus clarkii,
Procambarus enoplosternum,
Procambarus epicyrtus,
Procambarus fallax,
Procambarus gibbus,
Procambarus hayi,
Procambarus howellae,
Procambarus litosternum,
Procambarus lophotus,
Procambarus lunzi,
Procambarus paeninsulanus,
Procambarus pallidus,
Procambarus petersi,
Procambarus pubescens,
Procambarus pubischelae,
Procambarus pubischelae deficiens,
Procambarus pubischelae pubischelae,
Procambarus pygmaeus,
Procambarus raneyi,
Procambarus seminolae,
Procambarus spiculifer,
Procambarus talpoides,
Procambarus troglodytes,
Procambarus truculentus,
Procambarus verrucosus,
Procambarus versutus,
Dendrocephalus lithacus,
Eubranchipus holmanii,
Eubranchipus moorei,
Eubranchipus stegosus,
Eulimnadia diversa,
Eulimnadia graniticola,
Limnadia lenticularis,
Lynceus gracilicornis,
Streptocephalus sealii,
Amerigoniscus curvatus,
Amerigoniscus georgiensis,
Amerigoniscus proximus,
Caecidotea cyrtorhynchus,
Caecidotea hobbsi,
Caecidotea nickajackensis,
Caecidotea putea,
Caecidotea richardsonae,
Cylisticus convexus,
Ligidium elrodii,
Ligidium elrodii chatoogaensis,
Callinectes sapidus,
Macrobrachium ohione,
Uncinocythere warreni,
Melitta americana,
Bombus affinis,
Bombus auricomus,
Bombus bimaculatus,
Bombus borealis,
Bombus citrinus,
Bombus fervidus,
Bombus fraternus,
Bombus griseocollis,
Bombus impatiens,
Bombus insularis,
Bombus pensylvanicus,
Bombus perplexus,
Bombus sandersoni,
Bombus ternarius,
Bombus terricola,
Bombus vagans,
Bombus variabilis,
Xylocopa micans,
Xylocopa virginica,
Ptilothrix bombiformis,
Anthophora abrupta,
Anthophora bomboides,
Anthophora terminalis,
Anthophora ursina,
Habropoda laboriosa,
Megachile addenda,
Megachile albitarsis,
Megachile brevis,
Megachile brimleyi,
Megachile campanulae,
Megachile centuncularis,
Megachile deflexa,
Megachile exilis,
Megachile frigida,
Megachile frugalis,
Megachile gemula,
Megachile georgica,
Megachile inermis,
Megachile ingenua,
Megachile inimica,
Megachile integra,
Megachile integrella,
Megachile latimanus,
Megachile lippiae,
Megachile mendica,
Megachile mucida,
Megachile oenotherae,
Megachile parallela,
Megachile petulans,
Megachile policaris,
Megachile pruina,
Megachile pseudobrevis,
Megachile pugnata,
Megachile pusilla,
Megachile relativa,
Megachile rotundata,
Megachile rubi,
Megachile sculpturalis,
Megachile texana,
Megachile townsendiana,
Megachile xylocopoides,
Osmia albiventris,
Osmia atriventris,
Osmia bucephala,
Osmia caerulescens,
Osmia chalybea,
Osmia collinsiae,
Osmia conjuncta,
Osmia conjunctoides,
Osmia cornifrons,
Osmia distincta,
Osmia felti,
Osmia georgica,
Osmia inspergens,
Osmia lignaria,
Osmia proxima,
Osmia pumila,
Osmia sandhouseae,
Osmia subfasciata,
Osmia taurus,
Osmia texana,
Trachusa crassipes,
Trachusa dorsalis,
Trachusa fontemvitae,
Trachusa ridingsii,
Peponapis pruinosa,
Xenoglossa kansensis,
Xenoglossa strenua,
Agapostemon sericeus,
Agapostemon splendens,
Agapostemon texanus,
Agapostemon virescens,
Augochlora pura,
Dieunomia heteropoda,
Nomia maneei,
Nomia nortoni,
Anthidium maculifrons,
Anthidium manicatum,
Anthidium oblongatum,
Andrena accepta,
Andrena aliciae,
Andrena alleghaniensis,
Andrena andrenoides,
Andrena asteris,
Andrena barbara,
Andrena barbilabris,
Andrena bisalicis,
Andrena bradleyi,
Andrena brevipalpis,
Andrena carlini,
Andrena carolina,
Andrena ceanothi,
Andrena commoda,
Andrena confederata,
Andrena cornelli,
Andrena crataegi,
Andrena distans,
Andrena dunningi,
Andrena erigeniae,
Andrena erythrogaster,
Andrena erythronii,
Andrena fenningeri,
Andrena forbesii,
Andrena fragilis,
Andrena frigida,
Andrena gardineri,
Andrena geranii,
Andrena heraclei,
Andrena hippotes,
Andrena hirticincta,
Andrena illini,
Andrena imitatrix,
Andrena integra,
Andrena krigiana,
Andrena lamelliterga,
Andrena macoupinensis,
Andrena macra,
Andrena mandibularis,
Andrena mariae,
Andrena melanochroa,
Andrena mendica,
Andrena milwaukeensis,
Andrena miserabilis,
Andrena morrisonella,
Andrena nasonii,
Andrena neonana,
Andrena nida,
Andrena nigrae,
Andrena nivalis,
Andrena nubecula,
Andrena nuda,
Andrena peckhami,
Andrena perplexa,
Andrena personata,
Andrena placata,
Andrena platyparia,
Andrena pruni,
Andrena regularis,
Andrena rudbeckiae,
Andrena rugosa,
Andrena salictaria,
Andrena sayi,
Andrena simplex,
Andrena spiraeana,
Andrena thaspii,
Andrena tridens,
Andrena vicina,
Andrena violae,
Andrena virginiana,
Andrena w-scripta,
Andrena wheeleri,
Andrena wilkella,
Andrena wilmattae,
Andrena ziziae,
Anthidiellum perplexum,
Caupolicana electa,
Colletes ultravalidus,
Ellychnia corrusca,
Lucidota atra,
Lucidota luteicollis,
Lucidota punctata,
Phausis inaccensa,
Phausis reticulata,
Photinus australis,
Photinus brimleyi,
Photinus carolinus,
Photinus collustrans,
Photinus consanguineus,
Photinus consimilis,
Photinus indictus,
Photinus marginellus,
Photinus pyralis,
Photinus tanytoxus,
Photinus umbratus,
Photuris congener,
Photuris fairchildi,
Photuris forresti,
Photuris frontalis,
Photuris hebes,
Photuris lucicrescens,
Photuris quadrifulgens,
Photuris versicolor,
Pyractomena angulata,
Pyractomena angustata,
Pyractomena borealis,
Pyractomena dispersa,
Pyractomena lucifera,
Pyractomena marginalis,
Pyropyga minuta,
Pyropyga nigricans,
Tenaspis angularis,
Apterodela unipunctata,
Pseudanophthalmus digitus,
Pseudanophthalmus fastigatus,
Pseudanophthalmus fulleri,
Pseudanophthalmus georgiae,
Pseudaptinus lecontei,
Trichiotinus affinis,
Trichiotinus bibens,
Cicindela abdominalis,
Cicindela ancocisconensis,
Cicindela duodecimguttata,
Cicindela hirticollis,
Cicindela hirticollis hirticollis,
Cicindela limbalis,
Cicindela nigrior,
Cicindela patruela,
Cicindela patruela patruela,
Cicindela punctulata,
Cicindela punctulata punctulata,
Cicindela purpurea,
Cicindela purpurea purpurea,
Cicindela repanda,
Cicindela repanda repanda,
Cicindela rufiventris,
Cicindela rufiventris cumatilis,
Cicindela rufiventris rufiventris,
Cicindela scabrosa,
Cicindela scutellaris,
Cicindela scutellaris unicolor,
Cicindela sexguttata,
Cicindela splendida,
Cicindela tranquebarica,
Cicindela tranquebarica tranquebarica,
Cicindela trifasciata,
Cicindela trifasciata ascendens,
Ellipsoptera blanda,
Ellipsoptera cuprascens,
Ellipsoptera gratiosa,
Ellipsoptera hirtilabris,
Ellipsoptera marginata,
Ellipsoptera wapleri,
Eunota striga,
Habroscelimorpha dorsalis,
Habroscelimorpha dorsalis media,
Tetracha carolina,
Tetracha carolina carolina,
Tetracha virginica,
Trichodes apivorus,
Alloblackburneus aegrotus,
Alloblackburneus fordi,
Alloblackburneus troglodytes,
Atheta troglophila,
Chelyoxenus xerobatis,
Crossidius grahami,
Cryptoscatomaseter gambrinus,
Cryptoscatomaseter hubbelli,
Cryptoscatomaseter pholetus,
Cryptoscatomaseter platypleurus,
Dellacasiellus laevigatus,
Dynastes tityus,
Euphoria discicollis,
Geomyphilus alabama,
Geomysaprinus floridae,
Geopsammodius ohoopee,
Hypothyce burnei,
Hypothyce osburni,
Lordithon niger,
Mycotrupes cartwrighti,
Mycotrupes lethroides,
Nicrophorus americanus,
Onthophagus polyphemi,
Onthophagus polyphemi polyphemi,
Onthophagus polyphemi sparsisetosus,
Polyphylla donaldsoni,
Ptomaphagus fiskei,
Ptomaphagus whiteselli,
Scabrostomus baileyi,
Scabrostomus bakeri,
Scabrostomus dyspistus,
Scabrostomus tanytarsus,
Selonodon simplex,
Abaeis nicippe,
Amblyscirtes aesculapius,
Amblyscirtes alternata,
Amblyscirtes belli,
Amblyscirtes carolina,
Amblyscirtes hegon,
Amblyscirtes hegon,
Amblyscirtes reversa,
Amblyscirtes vialis,
Anaea andria,
Anatrytone logan,
Ancyloxypha numitor,
Anthanassa texana,
Anthanassa texana seminole,
Anthocharis midea,
Argynnis aphrodite,
Argynnis aphrodite cullasaja,
Argynnis cybele,
Argynnis diana,
Ascia monuste,
Ascia monuste phileta,
Asterocampa celtis,
Asterocampa clyton,
Atalopedes campestris,
Atlides halesus,
Atrytone arogos,
Atrytone arogos arogos,
Atrytonopsis hianna,
Battus philenor,
Boloria bellona,
Brephidium exilis,
Brephidium pseudofea insularus,
Burnsius albezens,
Burnsius communis,
Burnsius oileus,
Calephelis virginiensis,
Callophrys augustinus,
Callophrys gryneus,
Callophrys gryneus gryneus,
Callophrys henrici,
Callophrys hesseli,
Callophrys irus,
Callophrys niphon,
Calpodes ethlius,
Calycopis cecrops,
Celastrina idella,
Celastrina ladon,
Celastrina neglecta,
Celastrina neglectamajor,
Cercyonis pegala,
Chlosyne gorgone,
Chlosyne nycteis,
Colias eurytheme,
Colias philodice,
Copaeodes minima,
Cupido comyntas,
Cyllopsis gemma,
Danaus plexippus,
Danaus plexippus pop. 2,
Dione incarnata,
Epargyreus clarus,
Erora laeta,
Erynnis baptisiae,
Erynnis brizo,
Erynnis horatius,
Erynnis icelus,
Erynnis juvenalis,
Erynnis martialis,
Erynnis zarucco,
Euphydryas phaeton,
Euphyes arpa,
Euphyes berryi,
Euphyes bimacula,
Euphyes bimacula arbogasti,
Euphyes dion,
Euphyes dukesi,
Euphyes dukesi dukesi,
Euphyes pilatka,
Euphyes vestris,
Euphyes vestris metacomet,
Euptoieta claudia,
Eurema daira,
Eurytides marcellus,
Feniseca tarquinius,
Glaucopsyche lygdamus,
Glaucopsyche lygdamus lygdamus,
Heliconius charithonia,
Heraclides cresphontes,
Hermeuptychia intricata,
Hermeuptychia sosybius,
Hesperia attalus,
Hesperia attalus slossonae,
Hesperia leonardus,
Hesperia meskei,
Hesperia metea,
Hylephila phyleus,
Junonia coenia,
Lerema accius,
Lerodea eufala,
Lethe anthedon,
Lethe appalachia,
Lethe creola,
Lethe portlandia,
Libytheana carinenta,
Limenitis archippus,
Limenitis arthemis,
Lon hobomok,
Lon zabulon,
Lycaena hypophlaeas,
Megathymus cofaqui,
Megathymus cofaqui cofaqui,
Megathymus yuccae,
Megisto cymela,
Megisto cymela viola,
Nastra lherminier,
Nathalis iole,
Neonympha areolatus,
Nymphalis antiopa,
Oligoria maculata,
Panoquina ocola,
Panoquina panoquin,
Papilio polyxenes,
Papilio polyxenes asterius,
Parrhasius m-album,
Phoebis sennae,
Pholisora catullus,
Phyciodes batesii,
Phyciodes batesii maconensis,
Phyciodes phaon,
Phyciodes tharos,
Pieris rapae,
Pieris virginiensis,
Poanes aaroni,
Poanes aaroni howardi,
Poanes viator,
Poanes viator zizaniae,
Poanes yehl,
Polites baracoa,
Polites coras,
Polites egeremet,
Polites origenes,
Polites otho,
Polites themistocles,
Polites vibex,
Polygonia comma,
Polygonia faunus,
Polygonia faunus smythi,
Polygonia interrogationis,
Pontia protodice,
Problema bulenta,
Problema byssus,
Pterourus appalachiensis,
Pterourus glaucus,
Pterourus palamedes,
Pterourus troilus,
Pyrisitia lisa,
Satyrium calanus,
Satyrium calanus calanus,
Satyrium calanus falacer,
Satyrium edwardsii,
Satyrium favonius,
Satyrium favonius ontario,
Satyrium kingi,
Satyrium liparops,
Satyrium liparops liparops,
Satyrium liparops strigosa,
Satyrium titus,
Staphylus hayhurstii,
Strymon melinus,
Telegonus cellus,
Thorybes bathyllus,
Thorybes confusis,
Thorybes dorantes,
Thorybes lyciades,
